Código;Ação
RRRP3;3R PETROLEUM
ABEV3;AMBEV S/A
ASAI3;ASSAI
AZUL4;AZUL
B3SA3;B3
BBSE3;BBSEGURIDADE
BBDC4;BRADESCO
BBAS3;BRASIL
BRFS3;BRF SA
BPAC11;BTGP BANCO
CCRO3;CCR SA
CMIG4;CEMIG
CIEL3;CIELO
CPLE6;COPEL
CSAN3;COSAN
CYRE3;CYRELA REALT
ELET3;ELETROBRAS
EMBR3;EMBRAER
ENEV3;ENEVA
EQTL3;EQUATORIAL
GGBR4;GERDAU
NTCO3;GRUPO NATURA
HAPV3;HAPVIDA
HYPE3;HYPERA
ITSA4;ITAUSA
ITUB4;ITAUUNIBANCO
JBSS3;JBS
KLBN11;KLABIN S/A
RENT3;LOCALIZA
LREN3;LOJAS RENNER
MGLU3;MAGAZ LUIZA
MRFG3;MARFRIG
BEEF3;MINERVA
MRVE3;MRV
MULT3;MULTIPLAN
PETR3;PETROBRAS
PETR4;PETROBRAS
PRIO3;PETRORIO
RADL3;RAIADROGASIL
RDOR3;REDE D OR
RAIL3;RUMO S.A.
SBSP3;SABESP
CSNA3;SID NACIONAL
SUZB3;SUZANO S.A.
TOTS3;TOTVS
USIM5;USIMINAS
VALE3;VALE
VIIA3;VIA
VBBR3;VIBRA
WEGE3;WEG
